z_m,z_over_R,k_ge_sim_He2019,k_ge_Cheeseman_Bennett_1955,k_ge_Li_2015_rho3p4,k_ge_Kan_2019_Crazyflie
0.0,0.0,1.37,inf,inf,inf
0.01,0.435,1.273,1.49393,inf,1.59566
0.02,0.87,1.20142,1.0901,1.39088,1.21455
0.03,1.304,1.14862,1.03814,1.14273,1.12499
0.05,2.174,1.08091,1.0134,1.04708,1.06232
0.08,3.478,1.0325,1.00519,1.01788,1.03004
0.1,4.348,1.01769,1.00332,1.01137,1.01971
0.12,5.217,1.00963,1.0023,1.00787,1.01294
0.15,6.522,1.00387,1.00147,1.00502,1.00626
0.2,8.696,1.00085,1.00083,1.00282,0.99967
0.25,10.87,1.00018,1.00053,1.0018,0.99575
0.3,13.043,1.00004,1.00037,1.00125,0.99316
0.4,17.391,1.0,1.00021,1.0007,0.98993
0.5,21.739,1.0,1.00013,1.00045,0.98801
0.75,32.609,1.0,1.00006,1.0002,0.98546
1.0,43.478,1.0,1.00003,1.00011,0.98419
1.5,65.217,1.0,1.00001,1.00005,0.98292
2.0,86.957,1.0,1.00001,1.00003,0.98229
3.0,130.435,1.0,1.0,1.00001,0.98165
