run,cmd_idx,command,cmd_type,z_before_m,z_after_m,increment_m,target_m,target_source,asked_clarify,correct,api_calls,tokens
1,1,go to 2 metres,explicit,0.998,2.0,1.002,2.0,set_altitude_target,0,1,10,47627
1,2,climb to 2m,paraphrase,2.0,1.997,-0.003,2.0,text_inference,0,1,5,22464
1,3,go higher,relative_no_num,1.997,2.1,0.103,2.1,set_altitude_target,1,1,5,22493
1,4,go up a bit,vague_relative,2.1,2.203,0.103,2.2,set_altitude_target,0,1,4,17740
1,5,ascend slowly to a safe height,abstract,2.203,2.401,0.198,2.4,set_altitude_target,0,1,10,50317
1,6,I want it higher,indirect,2.401,2.399,-0.002,2.4,text_inference,0,0,1,4388
2,1,go to 2 metres,explicit,0.994,2.001,1.007,2.0,set_altitude_target,0,1,10,47627
2,2,climb to 2m,paraphrase,2.001,2.003,0.002,2.0,text_inference,0,1,5,22522
2,3,go higher,relative_no_num,2.003,2.102,0.099,2.1,set_altitude_target,0,1,5,22858
2,4,go up a bit,vague_relative,2.102,2.199,0.097,2.2,set_altitude_target,0,1,6,28149
2,5,ascend slowly to a safe height,abstract,2.199,2.405,0.206,2.4,set_altitude_target,0,0,10,52056
2,6,I want it higher,indirect,2.405,2.398,-0.007,2.4,text_inference,0,0,2,9219
3,1,go to 2 metres,explicit,1.003,2.01,1.007,2.0,set_altitude_target,0,1,10,48037
3,2,climb to 2m,paraphrase,2.01,1.999,-0.011,2.0,set_altitude_target,0,1,8,36954
3,3,go higher,relative_no_num,1.999,2.103,0.104,2.1,set_altitude_target,0,1,5,22593
3,4,go up a bit,vague_relative,2.103,2.201,0.098,2.2,set_altitude_target,0,1,7,33529
3,5,ascend slowly to a safe height,abstract,2.201,2.301,0.1,2.3,set_altitude_target,0,1,9,46720
3,6,I want it higher,indirect,2.301,2.302,0.001,2.3,text_inference,0,0,2,9590
4,1,go to 2 metres,explicit,0.998,2.001,1.003,2.0,set_altitude_target,0,1,10,47627
4,2,climb to 2m,paraphrase,2.001,2.0,-0.001,2.0,set_altitude_target,0,1,10,48109
4,3,go higher,relative_no_num,2.0,2.099,0.099,2.1,set_altitude_target,0,1,5,22398
4,4,go up a bit,vague_relative,2.099,2.201,0.102,2.2,set_altitude_target,0,1,5,22775
4,5,ascend slowly to a safe height,abstract,2.201,2.299,0.098,2.3,set_altitude_target,0,1,6,28160
4,6,I want it higher,indirect,2.299,2.399,0.1,2.4,set_altitude_target,0,1,6,28138
5,1,go to 2 metres,explicit,0.997,2.011,1.014,2.0,set_altitude_target,0,1,10,48066
5,2,climb to 2m,paraphrase,2.011,2.003,-0.008,2.0,text_inference,0,1,1,4144
5,3,go higher,relative_no_num,2.003,2.097,0.094,2.1,set_altitude_target,0,1,5,22487
5,4,go up a bit,vague_relative,2.097,2.198,0.101,2.2,set_altitude_target,0,1,5,22837
5,5,ascend slowly to a safe height,abstract,2.198,2.302,0.104,2.3,set_altitude_target,0,1,8,38881
5,6,I want it higher,indirect,2.302,2.396,0.094,2.4,set_altitude_target,0,1,6,28414
