mode,run,rmse_cm,mission_time_s,landed,disarmed,passed,api_calls,input_tokens,output_tokens,cost_usd,wall_time_s
B,1,6.745,29.9,1,1,1,34,195538,2894,0.630024,120.0
B,2,6.854,29.9,1,1,1,35,203210,2985,0.654405,106.0
B,3,6.703,29.9,1,1,1,35,203168,2980,0.654204,112.1
B,4,6.771,29.9,1,1,1,35,203211,3021,0.654948,111.2
B,5,6.954,29.9,1,1,1,34,195604,2876,0.629952,128.4
C,1,6.972,29.9,1,1,1,35,206173,2895,0.661944,107.9
C,2,7.07,29.9,1,1,1,35,208722,3228,0.674586,111.9
C,3,7.206,29.9,1,1,1,35,207746,2853,0.666033,107.6
C,4,6.686,29.9,1,1,1,35,207756,3009,0.668403,104.7
C,5,7.014,29.9,1,1,1,35,206814,2960,0.664842,110.5
